task_id,experiment,status,exit_code,latency_total_seconds,token_usage_input,token_usage_output,llm_calls,subagents_invoked,tool_calls_total,token_usage_input_root,token_usage_output_root,llm_calls_root,subagent_tasks_requested,delegate_task_calls,tool_calls_root,tool_calls_subagents,assistant_turns,turns_with_reasoning,sessions_total,cache_read_tokens,reasoning_tokens,total_tokens,estimated_cost_usd,model,provider,root_session_id,end_reason,category,answer_type,expected_answer,answer_chars
deepsearchqa-0129,auto-skill,ok,0,225.899,134148,12971,17,0,16,134148,12971,17,0,0,16,0,17,17,1,743936,11563,147119,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_000051_904240,agent_close,Education,Set Answer,"Kentucky, Wyoming, Montana, Arkansas, Nebraska, Wisconsin, Utah",1334
deepsearchqa-0142,auto-skill,ok,0,159.819,131542,6144,13,0,12,131542,6144,13,0,0,12,0,13,13,1,303744,4828,137686,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_000432_d374ff,agent_close,Finance & Economics,Set Answer,"Clothing & footwear, Food & non-alcoholic beverages, Housing & household services, Miscellaneous goods and services, Restaurants & hotels, Transport",933
deepsearchqa-0143,auto-skill,ok,0,43.646,39290,848,6,0,5,39290,848,6,0,0,5,0,6,6,1,46336,367,40138,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_000712_fe942a,agent_close,Travel,Single Answer,Route 1 (Spring Garden),546
deepsearchqa-0153,auto-skill,ok,0,261.729,278248,5300,25,0,37,278248,5300,25,0,0,37,0,25,25,1,1314944,2887,283548,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_000803_2ad1af,agent_close,Science,Set Answer,"Wild Water Buffalo, 1965; Komodo Dragon, 1986; Yellow-eared Parrot, 1988; Saiga tatarica, 1996; and Siberian Taimen, 2012",505
deepsearchqa-0164,auto-skill,ok,0,17.115,18836,928,2,0,5,18836,928,2,0,0,5,0,2,2,1,9600,386,19764,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_000858_791621,agent_close,Finance & Economics,Set Answer,"McCormick & Schmicks Seafood Restaurants Inc., OR, BOWFLEX INC., WA, ROLLINS INC, GA, DUQUESNE ENTERPRISES INC, PA, Global Medical Response, Inc., CO",826
deepsearchqa-0189,auto-skill,ok,0,343.967,293709,16808,36,0,37,293709,16808,36,0,0,37,0,36,36,1,3050240,13412,310517,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_000916_dd1aab,agent_close,Politics & Government,Set Answer,"California, Colorado, Connecticut, Delaware, Illinois, Massachusetts, Nevada, New Jersey, New York, Oregon",2899
deepsearchqa-0194,auto-skill,ok,0,652.322,827141,33999,83,3,95,47351,4909,4,3,1,3,92,83,83,4,6549632,19116,861140,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_001221_fa8076,agent_close,Media & Entertainment,Set Answer,Fourth Wing by Rebecca Yarros,3334
deepsearchqa-0206,auto-skill,ok,0,139.157,245111,3378,15,0,14,245111,3378,15,0,0,14,0,15,15,1,337664,2143,248489,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_001502_7c71f9,agent_close,Science,Single Answer,Lialis,1074
deepsearchqa-0208,auto-skill,ok,0,82.658,116736,3121,8,0,17,116736,3121,8,0,0,17,0,8,8,1,192512,1657,119857,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_001725_d06bd8,agent_close,Education,Set Answer,"University of Cambridge, UCL",1738
deepsearchqa-0212,auto-skill,ok,0,365.778,776413,16478,64,3,73,28076,3234,4,3,1,3,70,64,64,4,1918720,6649,792891,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_001843_2d6ac7,agent_close,Science,Set Answer,"Skipjack Tuna, Yellowfin Tuna",1797
deepsearchqa-0216,auto-skill,ok,0,177.983,83283,2822,16,0,15,83283,2822,16,0,0,15,0,16,16,1,487936,1459,86105,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_002314_71ec31,agent_close,Health,Set Answer,"Alabama, Arkansas, Mississippi, Oklahoma, Utah, West Virginia",1143
deepsearchqa-0230,auto-skill,ok,0,163.41,146412,4884,14,0,13,146412,4884,14,0,0,13,0,14,14,1,423168,3562,151296,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_002451_c465be,agent_close,Arts,Set Answer,"Red Hills with Flowers (1937), Black Cross, New Mexico (1929)",1165
deepsearchqa-0241,auto-skill,ok,0,50.798,28062,5087,4,0,6,28062,5087,4,0,0,6,0,4,4,1,31360,4408,33149,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_002620_520737,agent_close,Politics & Government,Set Answer,"Woodrow Wilson, Jimmy Carter, Franklin D. Roosevelt, George W. Bush, Bill Clinton, Theodore Roosevelt",1192
deepsearchqa-0242,auto-skill,ok,0,53.695,53963,3741,5,0,4,53963,3741,5,0,0,4,0,5,5,1,38912,3149,57704,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_002706_b7087a,agent_close,Technology,Single Answer,"United States, Netherlands",742
deepsearchqa-0249,auto-skill,ok,0,496.304,676808,8046,50,0,49,676808,8046,50,0,0,49,0,50,50,1,3157120,3973,684854,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_002738_89bb3d,agent_close,Finance & Economics,Single Answer,Evergreen State Bank,508
deepsearchqa-0256,auto-skill,ok,0,140.095,170049,3217,16,0,15,170049,3217,16,0,0,15,0,16,16,1,284032,1742,173266,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_002801_c8fd2a,agent_close,Media & Entertainment,Set Answer,"Incineror (2018): HP 95 (Win), Attack 115 (Win), Defense 90 (Win), Sp. Atk 80 (Win), Sp. Def 90 (Tie), Speed 60 (Lose), Total 530 (Win); Pachirisu (2014) HP 60 (Lose), Attack 45 (Lose), Defense 70 (Lose), Sp. Atk 45 (Lose), Sp. Def 90 (Tie), Speed 95 (Win), Total 405 (Lose)",1266
deepsearchqa-0259,auto-skill,ok,0,185.376,220459,5976,21,0,25,220459,5976,21,0,0,25,0,21,21,1,1188736,2867,226435,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_003024_6d013a,agent_close,Politics & Government,Set Answer,"Rockbridge County, City of Staunton, City of Waynesboro",1140
deepsearchqa-0294,auto-skill,ok,0,317.786,297035,5406,32,0,31,297035,5406,32,0,0,31,0,32,32,1,862080,2393,302441,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_003330_bcf843,agent_close,Finance & Economics,Single Answer,Quebec,963
deepsearchqa-0300,auto-skill,ok,0,381.136,434937,4388,31,0,30,434937,4388,31,0,0,30,0,31,31,1,1393536,2577,439325,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_003556_a4ebf4,agent_close,Health,Single Answer,Amitriptyline poisoning treated by forced diuresis.,281
deepsearchqa-0305,auto-skill,ok,0,109.739,98141,4111,9,0,8,98141,4111,9,0,0,8,0,9,9,1,150144,3043,102252,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_003849_1429c7,agent_close,Politics & Government,Set Answer,"Liberal Party of Australia 
Australian Labor Party  
Australian Greens 
Australian Democrats  
Pauline Hanson’s One Nation",1171
deepsearchqa-0309,auto-skill,ok,0,54.494,89521,1841,6,0,6,89521,1841,6,0,0,6,0,6,6,1,49536,1130,91362,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_004039_c978cb,agent_close,Finance & Economics,Single Answer,Syria,1082
deepsearchqa-0314,auto-skill,ok,0,78.869,140237,2238,7,0,6,140237,2238,7,0,0,6,0,7,7,1,183040,782,142475,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_004133_d108c0,agent_close,Science,Set Answer,"Tyrannosaurus Rex, Tyrannosaurus Mcraeensis",2679
deepsearchqa-0316,auto-skill,ok,0,714.085,559222,11391,64,0,66,559222,11391,64,0,0,66,0,64,64,1,6951232,5523,570613,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_004215_9c0832,agent_close,Health,Single Answer,Louisiana,3656
deepsearchqa-0325,auto-skill,ok,0,264.014,273652,6376,21,0,29,273652,6376,21,0,0,29,0,21,21,1,1214720,4280,280028,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_004252_5b97f2,agent_close,Health,Set Answer,"United States, Japan, Germany",1037
deepsearchqa-0353,auto-skill,ok,0,36.843,58515,2170,4,0,9,58515,2170,4,0,0,9,0,4,4,1,68864,1485,60685,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_004719_a01e9b,agent_close,Health,Set Answer,"Sheppy's Low Alcohol Classic Cider, Thatchers Zero English Cider, Adnams Wild Wave Non-Alcoholic 0.5% Cider",717
deepsearchqa-0355,auto-skill,ok,0,149.834,292032,3398,13,0,12,292032,3398,13,0,0,12,0,13,13,1,407936,2238,295430,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_004756_e7661e,agent_close,Politics & Government,Set Answer,"Cariboo-Prince George, Prince George-Peace River-Northern Rockies",630
deepsearchqa-0357,auto-skill,ok,0,686.917,1222698,13206,68,0,67,1222698,13206,68,0,0,67,0,68,68,1,14525184,4575,1235904,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_005028_f1e16d,agent_close,Finance & Economics,Single Answer,Switzerland,526
deepsearchqa-0358,auto-skill,ok,0,191.024,334044,14792,20,0,19,334044,14792,20,0,0,19,0,20,20,1,1445760,13342,348836,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_005410_d46213,agent_close,Geography,Single Answer,Nigeria,988
deepsearchqa-0364,auto-skill,ok,0,270.767,400468,9559,32,0,32,400468,9559,32,0,0,32,0,32,32,1,1000960,5530,410027,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_005726_49d4ed,agent_close,Finance & Economics,Set Answer,"1. Mississippi
2. West Virginia
3. Oklahoma
4. Ohio
5. Missouri
6. Montana
7. Iowa
8. Wisconsin
9. Connecticut
10. North Dakota",1765
deepsearchqa-0369,auto-skill,ok,0,516.515,291485,19042,42,0,41,291485,19042,42,0,0,41,0,42,42,1,3096448,15866,310527,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_010153_ad6a39,agent_close,Finance & Economics,Set Answer,"Syria, Yemen",927
deepsearchqa-0376,auto-skill,ok,0,842.091,550706,17970,63,0,65,550706,17970,63,0,0,65,0,63,63,1,5960448,11621,568676,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_010205_88138b,agent_close,Geography,Set Answer,"Monmouthshire, Torfaen",2403
deepsearchqa-0387,auto-skill,ok,0,48.977,57013,1776,6,0,6,57013,1776,6,0,0,6,0,6,6,1,86144,1087,58789,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_011032_cd98d3,agent_close,Other,Single Answer,Europe,619
deepsearchqa-0391,auto-skill,ok,0,96.998,132944,4077,9,0,8,132944,4077,9,0,0,8,0,9,9,1,80000,655,137021,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_011122_e725da,agent_close,History,Set Answer,"Bret, Douglas, Greg, Juliette, Kevin, Pauline",1003
deepsearchqa-0396,auto-skill,ok,0,1073.786,847039,85336,83,0,83,847039,85336,83,0,0,83,0,83,83,1,12033152,76696,932375,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_011302_3d6e0a,agent_close,Finance & Economics,Single Answer,Belgium,1167
deepsearchqa-0398,auto-skill,ok,0,138.476,162844,3744,13,0,12,162844,3744,13,0,0,12,0,13,13,1,307072,1361,166588,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_011559_b14f55,agent_close,Education,Set Answer,"2015-2016, 2016-2017, 2018-2019",589
deepsearchqa-0407,auto-skill,ok,0,47.818,85491,1189,5,0,6,85491,1189,5,0,0,6,0,5,5,1,38784,512,86680,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_011818_ba4f55,agent_close,Health,Set Answer,"Florida, Georgia",529
deepsearchqa-0408,auto-skill,ok,0,372.815,565559,19696,33,0,32,565559,19696,33,0,0,32,0,33,33,1,2732928,16425,585255,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_011906_f28ccc,agent_close,Geography,Single Answer,Czechia (or Czech Republic),1303
deepsearchqa-0420,auto-skill,ok,0,150.681,185931,2428,14,0,13,185931,2428,14,0,0,13,0,14,14,1,267776,1109,188359,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_012522_836085,agent_close,Health,Set Answer,"Asian, Black, NHOPI",614
deepsearchqa-0454,auto-skill,ok,0,452.302,535899,37414,34,0,33,535899,37414,34,0,0,33,0,34,34,1,2493056,33134,573313,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_012752_0b6621,agent_close,Other,Set Answer,"Illinois, Ohio, Virginia",1010
deepsearchqa-0459,auto-skill,ok,0,481.718,465510,28552,42,0,47,465510,28552,42,0,0,47,0,42,42,1,3707520,22462,494062,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_013103_a05aa4,agent_close,Travel,Set Answer,"Spain, France, Greece",1342
deepsearchqa-0465,auto-skill,ok,0,44.392,41648,1267,5,0,4,41648,1267,5,0,0,4,0,5,5,1,39424,741,42915,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_013528_c0513c,agent_close,Education,Set Answer,"Bryan Podmore, Sarah Wardle, Martin Goodman, Fred Sedgwick, Paul Munden, Maggie Butt, Keith Bennett, Carl Tighe",1193
deepsearchqa-0474,auto-skill,ok,0,159.477,88456,6282,13,0,23,88456,6282,13,0,0,23,0,13,13,1,604672,4809,94738,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_013612_56fb65,agent_close,Media & Entertainment,Single Answer,"The Ronettes, Sleigh Ride",871
deepsearchqa-0489,auto-skill,ok,0,37.523,21520,2551,2,0,2,21520,2551,2,0,0,2,0,2,2,1,896,2091,24071,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_013853_82e814,agent_close,History,Set Answer,"2008, 2012",903
deepsearchqa-0519,auto-skill,ok,0,152.214,92463,6202,17,0,21,92463,6202,17,0,0,21,0,17,17,1,883072,4454,98665,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_013858_891650,agent_close,Health,Set Answer,"New Hampshire, South Carolina, Ohio, Illinois, Oregon, Rhode Island",1340
deepsearchqa-0529,auto-skill,ok,0,205.511,177992,7133,23,0,22,177992,7133,23,0,0,22,0,23,23,1,1644160,4730,185125,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_013935_7e6b44,agent_close,Education,Single Answer,Writing,921
deepsearchqa-0531,auto-skill,ok,0,172.542,191095,5657,16,0,15,191095,5657,16,0,0,15,0,16,16,1,674944,3550,196752,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_014133_4ff129,agent_close,Education,Set Answer,"""Anglo-Saxon, Norse, & Celtic"", Archaeology, Economics, History, History of Art, Land Economy, ""Theology, Religion & Philosophy of Religion"", Computer Science, Natural Sciences",1411
deepsearchqa-0532,auto-skill,ok,0,475.727,477169,7497,47,0,46,477169,7497,47,0,0,46,0,47,47,1,3697536,4680,484666,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_014257_37971d,agent_close,Science,Single Answer,Myanmar,967
deepsearchqa-0543,auto-skill,ok,0,80.914,48097,8352,6,0,5,48097,8352,6,0,0,5,0,6,6,1,68992,7640,56449,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_014424_6fba43,agent_close,History,Set Answer,"STS-49, STS-59, STS-68, STS-67, STS-100, STS-111, STS-126",806
deepsearchqa-0545,auto-skill,ok,0,486.409,455221,5568,35,0,41,455221,5568,35,0,0,41,0,35,35,1,1431296,2325,460789,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_014600_c92f6c,agent_close,Health,Set Answer,"Prince Edward Island, Nova Scotia, New Brunswick, Quebec.",449
deepsearchqa-0563,auto-skill,ok,0,35.409,29405,692,4,0,3,29405,692,4,0,0,3,0,4,4,1,22912,427,30097,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_015057_6b6ebb,agent_close,Arts,Set Answer,"Fidencio Duran, Malou Flato, Gordon Fowler, Terri Wells",454
deepsearchqa-0565,auto-skill,ok,0,48.362,108988,2084,6,0,5,108988,2084,6,0,0,5,0,6,6,1,51584,1377,111072,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_015129_d458e3,agent_close,Politics & Government,Single Answer,Queensland,863
deepsearchqa-0588,auto-skill,ok,0,66.381,72221,4050,5,0,11,72221,4050,5,0,0,11,0,5,5,1,50432,2945,76271,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_015224_4c148d,agent_close,History,Set Answer,"An Interview with Ken Albala, Why History Matters: An Interview with John Tosh, An Interview with Margaret MacMillan, Mr. Gatling’s Terrible Marvel: An Interview with Julia Keller",1183
deepsearchqa-0592,auto-skill,ok,0,99.909,116053,2721,12,0,11,116053,2721,12,0,0,11,0,12,12,1,126336,988,118774,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_015328_d1cb25,agent_close,Other,Set Answer,"Ferry, Columbia, Wahkiakum",716
deepsearchqa-0644,auto-skill,ok,0,365.737,468328,6526,30,0,29,468328,6526,30,0,0,29,0,30,30,1,1695744,4002,474854,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_015357_c9d339,agent_close,Science,Set Answer,"""Comparison of the VIDAS Clostridium difficile toxin A immunoassay with C. difficile culture and cytotoxin and latex tests"", ""Comparison of traditional gas chromatography (GC), headspace GC, and the microbial identification library GC system for the identification of Clostridium difficile"", ""Detection of gyrA gene mutations associated with ciprofloxacin resistance in methicillin-resistant Staphylococcus aureus: analysis by polymerase chain reaction and automated direct DNA sequencing"", ""Detection of asymptomatic Clostridium difficile carriage by an alcohol shock procedure""",2170
deepsearchqa-0656,auto-skill,ok,0,114.132,135993,2611,11,0,10,135993,2611,11,0,0,10,0,11,11,1,132864,1898,138604,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_015509_997e8a,agent_close,Geography,Single Answer,Mark Leckey,594
deepsearchqa-0681,auto-skill,ok,0,43.103,31449,574,4,0,3,31449,574,4,0,0,3,0,4,4,1,26496,284,32023,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_015704_e5db7c,agent_close,Finance & Economics,Set Answer,"Texas, Indiana, West Virginia, Missouri, Ohio",298
deepsearchqa-0682,auto-skill,ok,0,173.129,109443,8259,13,0,15,109443,8259,13,0,0,15,0,13,13,1,688256,959,117702,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_015747_6568dd,agent_close,Health,Single Answer,Norway,552
deepsearchqa-0684,auto-skill,ok,0,66.785,41285,1341,5,0,7,41285,1341,5,0,0,7,0,5,5,1,44544,808,42626,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_020002_f8bd6b,agent_close,Technology,Single Answer,15620-36020,650
deepsearchqa-0693,auto-skill,ok,0,37.659,24518,779,4,0,3,24518,779,4,0,0,3,0,4,4,1,23040,553,25297,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_020041_5ed158,agent_close,History,Set Answer,"James A. Garfield, Little Trot, David Copperfield",263
deepsearchqa-0697,auto-skill,ok,0,37.237,41945,1618,4,0,4,41945,1618,4,0,0,4,0,4,4,1,38912,1193,43563,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_020109_42305f,agent_close,Other,Set Answer,Finland,743
deepsearchqa-0699,auto-skill,ok,0,37.816,35206,2655,3,0,2,35206,2655,3,0,0,2,0,3,3,1,2688,2240,37861,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_020122_8c6d85,agent_close,History,Set Answer,"John Hart, Joseph Hewes, Philip Livingston, Thomas Lynch Jr., John Morton, George Ross, Richard Stockton",1060
deepsearchqa-0703,auto-skill,ok,0,195.088,119645,3569,13,0,12,119645,3569,13,0,0,12,0,13,13,1,248320,2342,123214,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_020148_47c176,agent_close,Other,Single Answer,Cameron County,1366
deepsearchqa-0713,auto-skill,ok,0,119.776,206167,5801,12,0,11,206167,5801,12,0,0,11,0,12,12,1,323456,4708,211968,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_020158_4c8c4b,agent_close,Education,Set Answer,"Wyoming, Utah, Alaska, West Virginia, Arkansas",1034
deepsearchqa-0733,auto-skill,ok,0,15.384,18799,311,2,0,1,18799,311,2,0,0,1,0,2,2,1,1792,154,19110,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_020400_e923aa,agent_close,Science,Set Answer,"Mariana Vega-Mendoza, Holly West, Antonella Sorace, and Thomas H. Bak",277
deepsearchqa-0755,auto-skill,ok,0,108.31,85684,2664,9,0,10,85684,2664,9,0,0,10,0,9,9,1,317440,1350,88348,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_020415_ee581f,agent_close,Health,Set Answer,"Grenada, Saint Lucia",1102
deepsearchqa-0756,auto-skill,ok,0,586.336,879733,11767,52,0,51,879733,11767,52,0,0,51,0,52,52,1,5657984,7494,891500,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_020511_6b9f09,agent_close,Education,Set Answer,"Utrecht University, University of Amsterdam, Leiden University, Delft University of Technology",3404
deepsearchqa-0780,auto-skill,ok,0,268.916,112598,3913,19,0,18,112598,3913,19,0,0,18,0,19,19,1,503424,1994,116511,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_020608_277f40,agent_close,Education,Set Answer,"Dunlap Elementary School, Emerson Elementary School, Graham Hill Elementary School, Martin Luther King Jr. Elementary School, Wing Luke Elementary School, Rainier View Elementary School",1030
deepsearchqa-0785,auto-skill,ok,0,113.14,146215,5131,12,0,12,146215,5131,12,0,0,12,0,12,12,1,289536,3651,151346,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_021035_d590fa,agent_close,Science,Set Answer,"Bryum argenteum, Bryum pseudotriquetrum, pohlia nutans and Polytrichum juniperinum",1415
deepsearchqa-0793,auto-skill,ok,0,68.824,55466,4866,4,0,6,55466,4866,4,0,0,6,0,4,4,1,26240,4278,60332,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_021230_48e8df,agent_close,History,Single Answer,Chile,988
deepsearchqa-0813,auto-skill,ok,0,133.699,120007,5577,13,0,12,120007,5577,13,0,0,12,0,13,13,1,471552,694,125584,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_021338_8e31ba,agent_close,Geography,Single Answer,Kuwait,366
deepsearchqa-0824,auto-skill,ok,0,44.353,47090,2880,4,0,4,47090,2880,4,0,0,4,0,4,4,1,22656,2307,49970,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_021451_ea884a,agent_close,Health,Set Answer,"Oklahoma, Mississippi, Arkansas",1240
deepsearchqa-0829,auto-skill,ok,0,50.084,65480,1075,4,0,3,65480,1075,4,0,0,3,0,4,4,1,11264,693,66555,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_021538_a1695f,agent_close,History,Set Answer,"Al Gore, Muhammad Yunus, Desmond Tutu",519
deepsearchqa-0830,auto-skill,ok,0,696.513,1935320,58276,174,12,154,88258,6094,8,13,4,7,147,174,174,13,3213824,29741,1993596,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_021557_e82a32,agent_close,History,Set Answer,"Jesse James Caston, Aurlieas Dame McClarty, Francis William Murphy, Dwight Bowen, Felix Summers",2419
deepsearchqa-0840,auto-skill,ok,0,82.177,98952,4430,7,0,12,98952,4430,7,0,0,12,0,7,7,1,139648,3387,103382,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_021634_35ef53,agent_close,Geography,Set Answer,"Ghana, Austria, Burma, Norway",1609
